name,mascot,school_ncaa,conf_name,venue_state,color
Buckeyes,Buckeye Nut,Ohio St.,Big Ten,OH,#bb0000
Fightin Blue Hens,Hen,Delaware,Colonial,DE,#00539f
Gamecocks,Rooster,Jacksonville St.,Ohio Valley,AL,#be0f34
Chanticleers,Rooster,Coastal Caro.,Sun Belt,SC,#007079
Gamecocks,Rooster,South Carolina,Southeastern,SC,#73000A
Peacocks,Peacock,Saint Peter's,Metro Atlantic Athletic,NJ,#006bb6
Hokies,Fictional Bird,Virginia Tech,Atlantic Coast,VA,#660000
Hornets,Hornets,Alabama St.,Southwestern Athletic,AL,#f19d17
Hornets,Hornets,Delaware St.,Mid Eastern Athletic,DE,#279fcc
Hornets,Hornet,Sacramento St.,Big Sky,CA,#005643
Yellow Jackets,Yellow Jacket,Georgia Tech,Atlantic Coast,GA,#b09465
Crimson Tide,Elephant,Alabama,Southeastern,AL,#a32136
Titans,Elephant,Cal St. Fullerton,Big West,CA,#003057
Mastodons,Mastodons,Fort Wayne,Summit League,IN,#015838
Ducks,Duck,Oregon,Pacific 12,OR,#004F27
Stags,Stag,Fairfield,Metro Atlantic Athletic,CT,#e93337
Midshipmen,Goat,Navy,Patriot League,MD,#333366
Buffaloes,Buffalo,Colorado,Pacific 12,CO,#000000
Bison,Bison,North Dakota St.,Summit League,ND,#006633
Bison,Bison,Bucknell,Patriot League,PA,#004c8b
Thundering Herd,Bison,Marshall,Conference USA,WV,#11461b
Bisons,Bison,Lipscomb,Atlantic Sun,TN,#f4b53b
Bison,Bison,Howard,Mid Eastern Athletic,DC,#ef3e43
Rams,Rams,Rhode Island,Atlantic 10,RI,#004990
Tar Heels,Sheep,North Carolina,Atlantic Coast,NC,#8db9e5
Rams,Rams,Fordham,Atlantic 10,NY,#a90332
Rams,Ram,VCU,Atlantic 10,VA,#141414
Rams,Rams,Colorado St.,Mountain West,CO,#00674e
Fighting Camels,Camel,Campbell,Big South,NC,#fa9223
Dolphins,Dolphin,Jacksonville,Atlantic Sun,FL,#005239
Longhorns,Cow,Texas,Big 12,TX,#CC5500
Bulls,Bull,South Fla.,American Athletic,FL,#006747
Bulls,Bull,Buffalo,Mid-American,NY,#041A9B
Aggies,Bull,Utah St.,Mountain West,UT,#00264a
Mavericks,Bull,Omaha,Summit League,NE,#163e68
Razorbacks,Red Russian Boar,Arkansas,Southeastern,AR,#BE0F34
Antelopes,Pronghorn Antelope,Grand Canyon,Western Athletic,AZ,#4e0c76
Roadrunners,Roadrunner,UTSA,Conference USA,TX,#fe7502
Roadrunners,Roadrunner,CSU Bakersfield,Western Athletic,CA,#003fa4
Owls,Owls,Rice,Conference USA,TX,#003f82
Owls,Owls,Temple,American Athletic,PA,#9e1b34
Owls,Owls,Kennesaw St.,Atlantic Sun,GA,#ecbb09
Owls,Owls,Fla. Atlantic,Conference USA,FL,#002D62
Keydets,Kangaroo,VMI,Southern,VA,#c41700
Zips,Kangaroo,Akron,Mid-American,OH,#00285e
Kangaroos,Kangaroo,UMKC,Western Athletic,MO,#e0ae00
Falcons,Falcon,Bowling Green,Mid-American,OH,#4f2c1d
Falcons,Falcon,Air Force,Mountain West,CO,#0033a1
Bluejays,Blue Jay,Creighton,Big East,NE,#005CA9
Cardinals,Cardinal,Incarnate Word,Southland,TX,#d72c23
Redbirds,Redbird,Illinois St.,Missouri Valley,IL,#ca1134
Cardinals,Cardinal,Louisville,Atlantic Coast,KY,#AD0000
Cardinals,Cardinal,Lamar University,Southland,TX,#ec2a31
Cardinals,Cardinal,Ball St.,Mid-American,IN,#d90400
Cyclones,Cardinal,Iowa St.,Big 12,IA,#A71930
Blackbirds,Blackbird,LIU Brooklyn,Northeast,NY,#0064ee
Red Storm,Thunderbird,St. John's (NY),Big East,NY,#CF102D
Thunderbirds,Thunderbirds,Southern Utah,Big Sky,UT,#d8240e
Hurricanes,Ibis,Miami (FL),Atlantic Coast,FL,#005030
Green Wave,Pelican,Tulane,American Athletic,LA,#005737
Black Knights,Mule,Army West Point,Patriot League,NY,#ccb284
Mustangs,Mustang,SMU,American Athletic,TX,#e51932
Vaqueros,Horse,UTRGV,Western Athletic,TX,#006f3c
Racers,Horse,Murray St.,Ohio Valley,KY,#002144
Knights,Horse and devil,Fairleigh Dickinson,Northeast,NJ,#003479
Broncos,Bronco,Boise St.,Mountain West,ID,#005dab
Aggies,Mustang,UC Davis,Big West,CA,#002855
Mavericks,Horse,UT Arlington,Sun Belt,TX,#0064b1
Mustangs,Mustang,Cal Poly,Big West,CA,#005836
Broncos,Bronco,Western Mich.,Mid-American,MI,#522c1b
Broncs,Bronco,Rider,Metro Atlantic Athletic,NJ,#bb1c30
Lancers,Horse,Longwood,Big South,VA,#1a5595
Broncos,Bronco,Santa Clara,West Coast,CA,#720900
Fighting Hawks,Hawk,North Dakota,Big Sky,ND,#009A44
Skyhawks,Hawk,UT Martin,Ohio Valley,TN,#ff6900
RedHawks,Redhawks,Miami (OH),Mid-American,OH,#d51a00
Hawks,Hawk,UMES,Mid Eastern Athletic,MD,#8f2532
River Hawks,River Hawk,UMass Lowell,America East,MA,#004886
Warhawks,Red Hawk,La.-Monroe,Sun Belt,LA,#660000
Mountain Hawks,Hawk,Lehigh,Patriot League,PA,#653600
Hawks,Hawk,Hartford,America East,CT,#ec1a2c
Hawkeyes,Hawk,Iowa,Big Ten,IA,#141414
Braves,Hawk,Alcorn,Southwestern Athletic,MS,#703690
Hawks,Hawk,Monmouth,Metro Atlantic Athletic,NJ,#002147
Hawks,Hawk,Saint Joseph's,Atlantic 10,PA,#a80532
Redhawks,Redhawks,Seattle U,Western Athletic,WA,#c3362e
Redhawks,Redhawks,Southeast Mo. St.,Ohio Valley,MO,#e03a3e
Eagles,Eagle,Coppin St.,Mid Eastern Athletic,MD,#dfb100
Eagles,Eagle,Winthrop,Big South,SC,#a90533
Eagles,Eagle,Ga. Southern,Sun Belt,GA,#000066
Eagles,Eagle,Eastern Wash.,Big Sky,WA,#a10022
Eagles,Eagle,N.C. Central,Mid Eastern Athletic,NC,#880023
Eagles,Eagle,Morehead St.,Ohio Valley,KY,#ffc300
Eagles,Eagle,Eastern Mich.,Mid-American,MI,#007c4e
Eagles,Eagle,American,Patriot League,DC,#cf102d
Flames,Eagle,Liberty,Big South,VA,#15264e
Purple Eagles,Eagle,Niagara,Metro Atlantic Athletic,NY,#502d7f
Eagles,Eagle,Boston College,Atlantic Coast,MA,#98002e
Eagles,Eagle,FGCU,Atlantic Sun,FL,#00287A
Ospreys,Osprey,North Florida,Atlantic Sun,FL,#001a49
Seahawks,Osprey,Wagner,Northeast,NY,#336356
Seahawks,Osprey,UNCW,Colonial,NC,#192857
Golden Eagles,Golden Eagle,Tennessee Tech,Ohio Valley,TN,#d7aa01
Golden Eagles,Golden Eagle,Marquette,Big East,WI,#003366
Golden Flashes,Golden Eagle,Kent St.,Mid-American,OH,#002664
Golden Eagles,Golden Eagle,Oral Roberts,Summit League,OK,#c4b888
Golden Eagles,Golden Eagle,Southern Miss.,Conference USA,MS,#f0bc28
Utes,Red-tailed Hawk,Utah,Pacific 12,UT,#c20430
Penguins,Penguin,Youngstown St.,Horizon,OH,#d41a00
